,Left,Right,Conf,Lift,ChiSquared,AllConf,Kulc,IR
911,体育人物 运动员 ,人物 画家 ,0.0,0.0,204.6836332249535,0.0,0.0,0.005010737294201845
912,体育人物 运动员 ,音乐 音乐作品 ,0.0,0.0,195.6844926173297,0.0,0.0,0.016825164594001456
913,体育人物 运动员 ,中国大学 组织机构 ,0.0,0.0,218.84404036147518,0.0,0.0,0.0367290367290367
914,体育人物 运动员 ,人物 演员 ,0.0,0.0,190.66701530227655,0.0,0.0,0.029629629629629613
915,体育人物 运动员 ,人物 体育人物 ,0.8661870503597122,15.87387331514099,9407.213106182102,0.8649425287356322,0.8655647895476721,0.0012674271229404107
916,体育人物 运动员 ,电子游戏 游戏 ,0.0,0.0,167.84379195293363,0.0,0.0,0.09448818897637798
917,体育人物 运动员 ,美术家 画家 ,0.0,0.0,182.53150293360616,0.0,0.0,0.051437216338880466
918,体育人物 运动员 ,游戏作品 游戏 ,0.0,0.0,159.61688367471936,0.0,0.0,0.12096774193548386
919,体育人物 运动员 ,电子游戏 游戏作品 ,0.0,0.0,152.3656735052096,0.0,0.0,0.14591920857378401
920,体育人物 运动员 ,出版物 期刊 ,0.0,0.0,179.3789811616874,0.0,0.0,0.06025934401220441
921,体育人物 运动员 ,人物 运动员 ,0.8661870503597122,18.291748058506837,10935.177592083555,0.8661870503597122,0.9314378960407832,0.13055954088952648
922,体育人物 运动员 ,学校 外国大学 ,0.0,0.0,160.15976348461936,0.0,0.0,0.11916264090177135
923,体育人物 运动员 ,人物 美术家 ,0.0028776978417266188,0.06484988687495234,160.65718434133038,0.0028776978417266188,0.003205633373160129,0.10246227164416201
924,体育人物 运动员 ,音乐 单曲 ,0.0,0.0,148.66252306475698,0.0,0.0,0.1592994161801501
925,体育人物 运动员 ,flash游戏 游戏作品 ,0.0,0.0,144.7376626095569,0.0,0.0,0.17398648648648649
926,体育人物 运动员 ,flash游戏 游戏 ,0.0,0.0,144.7376626095569,0.0,0.0,0.17398648648648649
927,体育人物 运动员 ,组织机构 外国大学 ,0.0,0.0,151.0386834343774,0.0,0.0,0.15066225165562916
928,体育人物 运动员 ,音乐作品 单曲 ,0.0,0.0,144.2176847733401,0.0,0.0,0.17597292724196276
929,体育人物 运动员 ,电子游戏 flash游戏 ,0.0,0.0,140.3428124851062,0.0,0.0,0.19108826049700084
930,体育人物 运动员 ,医生 中医 ,0.0,0.0,122.10935391967544,0.0,0.0,0.27056672760511885
931,体育人物 运动员 ,足球运动员 体育人物 ,0.6345323741007194,16.861375899280574,7259.6930820470925,0.6345323741007194,0.7766411870503597,0.29291553133514986
932,体育人物 运动员 ,人物 学者 ,0.0,0.0,130.4733601173915,0.0,0.0,0.23226950354609927
933,体育人物 运动员 ,学者 科学家 ,0.0,0.0,130.97230551113483,0.0,0.0,0.23008849557522124
934,体育人物 运动员 ,人物 官员 ,0.0014388489208633094,0.04218969651864715,128.64268462733253,0.0014388489208633094,0.0018688497477879766,0.23029229406554474
935,人物 演员 ,学校 组织机构 ,0.0,0.0,387.1815226374417,0.0,0.0,0.31413612565445026
936,人物 演员 ,公司 组织 ,0.0,0.0,237.57567674963082,0.0,0.0,0.12840984697272118
937,人物 演员 ,学校 中国大学 ,0.0,0.0,260.6888332703801,0.0,0.0,0.16719643992371258
938,人物 演员 ,人物 政治人物 ,0.0015267175572519084,0.022564637824737065,239.95081787389438,0.0011587485515643105,0.0013427330544081096,0.13711272247857617
939,人物 演员 ,人物 科学家 ,0.0030534351145038168,0.04974018503894787,212.1900417702945,0.0025542784163473816,0.002803856765425599,0.08913649025069637
940,人物 演员 ,人物 画家 ,0.00916030534351145,0.16643831147647942,179.08613022052307,0.008547008547008548,0.00885365694526,0.034789045151739424
941,人物 演员 ,音乐 音乐作品 ,0.0,0.0,184.03498087949558,0.0,0.0,0.012810851544837975
